,nama,jarak tempuh,nama dealer,rate,banyak review,harga
44,2022 Mercedes-Benz AMG GLB 35 Base,"4,455 mi.",Mercedes-Benz of Littleton,4.6,"(1,153 reviews)","$56,599"
45,2022 Mercedes-Benz G-Class G 550 4MATIC,"4,600 mi.",Mercedes-Benz of Valencia,4.3,"(1,122 reviews)","$159,999"
46,2020 Mercedes-Benz C-Class C 300 4MATIC,"19,609 mi.",Mercedes-Benz of Georgetown,4.6,(446 reviews),"$36,728"
47,2021 Mercedes-Benz Maybach GLS 600 4MATIC,"10,770 mi.",Mercedes-Benz of Buckhead,4.0,(932 reviews),"$160,000"
48,2021 Mercedes-Benz AMG GLE 53 Base,"33,578 mi.",Mercedes-Benz of Rochester,4.7,(152 reviews),"$78,995"
49,2020 Mercedes-Benz AMG CLA 35 Base 4MATIC,"36,551 mi.",Sears Imported Autos,4.9,"(2,212 reviews)","$40,906"
50,2021 Mercedes-Benz CLA 250 Base 4MATIC,"16,701 mi.",Mercedes-Benz of Tysons Corner,4.6,(908 reviews),"$39,995"
51,2023 Mercedes-Benz C-Class C 300 4MATIC,366 mi.,Mercedes-Benz of Lubbock,n/a,(1 review),"$54,591"
52,2020 Mercedes-Benz CLA 250 Base,"29,509 mi.",Mercedes-Benz of Bakersfield,n/a,(541 reviews),"$33,991"
53,2022 Mercedes-Benz AMG GLE 53 Base,"2,925 mi.",Mercedes-Benz of Columbia,5.0,(948 reviews),"$89,444"
54,2018 Mercedes-Benz AMG SLC 43 Base,"24,889 mi.",Fletcher Jones Motorcars - Newport Beach,4.9,"(5,346 reviews)","$45,894"
55,2022 Mercedes-Benz AMG CLA 45 Base 4MATIC,"9,702 mi.",Mercedes-Benz of Chicago,4.8,"(1,327 reviews)","$64,992"
56,2020 Mercedes-Benz AMG GT 53 Base,"26,256 mi.",Mercedes-Benz of Chicago,4.8,"(1,327 reviews)","$82,992"
57,2020 Mercedes-Benz AMG GT 53 Base,"24,290 mi.",Mercedes-Benz of Gainesville,4.8,(876 reviews),"$81,999"
58,2022 Mercedes-Benz CLS 450 Base 4MATIC,"3,115 mi.",Mercedes-Benz of Des Moines,4.2,(372 reviews),"$78,331"
59,2020 Mercedes-Benz C-Class C 300,"13,607 mi.",Mercedes-Benz of Knoxville,4.7,(339 reviews),"$37,000"
60,2021 Mercedes-Benz AMG GLC 63 Base 4MATIC,"1,298 mi.",Sears Imported Autos,4.9,"(2,212 reviews)","$78,741"
61,2021 Mercedes-Benz GLE 350 Base 4MATIC,"28,929 mi.",Mercedes-Benz of North Haven,4.8,"(1,250 reviews)","$57,475"
62,2019 Mercedes-Benz G-Class G 550 4MATIC,"68,212 mi.",Mercedes-Benz of Covington,4.7,(734 reviews),"$124,000"
63,2021 Mercedes-Benz S-Class S 580 4MATIC,"25,381 mi.",Mercedes-Benz of South Charlotte,4.8,"(1,325 reviews)","$97,986"
64,2017 Mercedes-Benz C-Class C 300,"73,831 mi.",Mercedes-Benz of Boerne,4.6,(462 reviews),"$24,637"
65,2020 Mercedes-Benz AMG GLC 43 4MATIC Coupe,"36,832 mi.",Fletcher Jones Motorcars - Newport Beach,4.9,"(5,346 reviews)","$58,894"
66,2020 Mercedes-Benz C-Class C 300,"13,607 mi.",Mercedes-Benz of Knoxville,4.7,(339 reviews),"$37,000"
67,2021 Mercedes-Benz AMG GLC 63 Base 4MATIC,"1,298 mi.",Sears Imported Autos,4.9,"(2,212 reviews)","$78,741"
68,2023 Mercedes-Benz Maybach GLS 600 4MATIC,686 mi.,Fletcher Jones Motorcars - Newport Beach,4.9,"(5,346 reviews)","$209,894"
69,2021 Mercedes-Benz AMG A 35 Base,"22,825 mi.",Mercedes-Benz of Delray,4.6,"(1,744 reviews)","$41,891"
70,2020 Mercedes-Benz AMG C 43 Base 4MATIC,"26,088 mi.",Mercedes-Benz Of Bloomfield Hills,3.9,(110 reviews),"$53,890"
71,2020 Mercedes-Benz E-Class E 350 4MATIC,"15,695 mi.",Mercedes-Benz of Ann Arbor,n/a,(465 reviews),"$43,881"
72,2023 Mercedes-Benz GLA 250 Base 4MATIC,787 mi.,Jackie Cooper Imports,4.9,"(4,065 reviews)","$47,000"
73,2023 Mercedes-Benz AMG CLA 35 Base 4MATIC,505 mi.,Mercedes-Benz Of Bedford,4.7,(484 reviews),"$53,492"
74,2020 Mercedes-Benz S-Class S 450,"29,768 mi.",Mercedes-Benz of Jackson,3.9,(818 reviews),"$64,617"
75,2017 Mercedes-Benz GLC 300 4MATIC Coupe,"64,868 mi.",Mercedes-Benz of Austin,4.8,"(1,335 reviews)","$33,499"
76,2019 Mercedes-Benz AMG GT 63 S 4-Door,"11,864 mi.",Mercedes-Benz of Bonita Springs,5.0,"(2,197 reviews)","$129,994"
77,2023 Mercedes-Benz GLB 250 Base,"6,695 mi.",Mercedes-Benz of Austin,4.8,"(1,335 reviews)","$52,195"
78,2018 Mercedes-Benz GLE 350 Base 4MATIC,"58,571 mi.",Elite Automotive Group,n/a,(5 reviews),"$33,980"
79,2021 Mercedes-Benz AMG GLS 63 Base 4MATIC,"18,528 mi.",Mercedes-Benz of Hoffman Estates,4.6,"(1,182 reviews)","$137,999"
80,2022 Mercedes-Benz CLA 250 Base,"14,619 mi.",Mercedes-Benz of Bakersfield,n/a,(541 reviews),"$41,491"
81,2020 Mercedes-Benz AMG CLS 53 Base 4MATIC,"43,234 mi.",Volkswagen of Quad Cities,4.8,(179 reviews),"$61,600"
82,2021 Mercedes-Benz G-Class G 550 4MATIC,"15,981 mi.",Volkswagen of Quad Cities,4.8,(179 reviews),"$147,200"
83,2020 Mercedes-Benz Maybach S 650 Base,"16,420 mi.",Mercedes-Benz of Catonsville,4.3,(487 reviews),"$148,000"
84,2021 Mercedes-Benz G-Class G 550 4MATIC,"11,309 mi.",Mercedes-Benz of Austin,4.8,"(1,335 reviews)","$158,995"
85,2019 Mercedes-Benz CLS 450 Base 4MATIC,"40,933 mi.",Mercedes-Benz of Springfield,4.9,(102 reviews),"$43,990"
86,2022 Mercedes-Benz GLC 300 Base 4MATIC,"8,369 mi.",Mercedes-Benz of Fort Mitchell,4.7,(598 reviews),"$40,649"
87,2022 Mercedes-Benz E-Class E 350 4MATIC,"7,590 mi.",Mercedes-Benz of Beaverton,4.4,"(2,829 reviews)","$58,172"
88,2023 Mercedes-Benz GLA 250 Base 4MATIC,"7,989 mi.",Bergstrom Luxury on Victory Lane,4.2,(292 reviews),"$44,152"
89,2020 Mercedes-Benz AMG GLC 43 Base 4MATIC,"21,695 mi.",i.g. Burton Imports,n/a,(27 reviews),"$59,899"
90,2021 Mercedes-Benz A-Class A 220 4MATIC,"31,736 mi.",Mercedes-Benz of Edison,5.0,"(3,933 reviews)","$34,996"
91,2022 Mercedes-Benz Maybach GLS 600 4MATIC,"10,762 mi.",Mercedes-Benz of Foothill Ranch,4.7,(654 reviews),"$183,888"
92,2019 Mercedes-Benz GLS 450 Base 4MATIC,"26,175 mi.",Mercedes-Benz of Laredo,n/a,(8 reviews),"$49,990"
93,2017 Mercedes-Benz GLS 550 Base 4MATIC,"70,056 mi.",Mercedes-Benz of Des Moines,4.2,(372 reviews),"$41,492"
94,2017 Mercedes-Benz AMG G 63 Base,"62,114 mi.",Mercedes-Benz of Kansas City,4.7,(766 reviews),"$93,268"
95,2017 Mercedes-Benz AMG S 63 Base 4MATIC,"46,134 mi.",Morrie's Mercedes Benz of St. Paul,4.8,(276 reviews),"$66,987"
96,2020 Mercedes-Benz CLA 250 Base,"31,431 mi.",Mercedes-Benz of Laredo,n/a,(8 reviews),"$35,990"
97,2023 Mercedes-Benz GLA 250 Base 4MATIC,"5,305 mi.",Bergstrom Luxury on Victory Lane,4.2,(292 reviews),"$43,836"
98,2019 Mercedes-Benz E-Class E 300,"19,588 mi.",Mercedes-Benz of Asheville,4.6,(261 reviews),"$39,302"
99,2021 Mercedes-Benz AMG C 43 Base 4MATIC,"1,651 mi.",Mercedes-Benz of Georgetown,4.6,(446 reviews),"$74,368"
100,2022 Mercedes-Benz AMG SL 55 Base,618 mi.,Mercedes-Benz of Calabasas,4.8,(966 reviews),"$125,999"
101,2022 Mercedes-Benz S-Class S 500 4MATIC,"4,323 mi.",Mercedes-Benz Of Tampa,4.1,"(3,520 reviews)","$104,670"
102,2018 Mercedes-Benz AMG GLE 43 Coupe 4MATIC,"82,948 mi.",Mercedes-Benz of Houston North,4.5,"(1,757 reviews)","$45,991"
103,2020 Mercedes-Benz AMG C 63 S,"5,040 mi.",Centennial Imports,4.2,(86 reviews),"$75,900"
104,2021 Mercedes-Benz AMG G 63 Base,"7,705 mi.",Mercedes-Benz of Fort Mitchell,4.7,(598 reviews),"$186,901"
105,2023 Mercedes-Benz EQE 350+ Base,"5,937 mi.",Mercedes-Benz of Foothill Ranch,4.7,(654 reviews),"$68,996"
106,2021 Mercedes-Benz E-Class E 350,"32,907 mi.",W.I. Simonson Inc.,4.6,(886 reviews),"$44,596"
107,2016 Mercedes-Benz CLS-Class CLS 400 4MATIC,"51,427 mi.",Mercedes-Benz of Reno,4.2,(747 reviews),"$29,876"
108,2018 Mercedes-Benz AMG GLE 43 Base 4MATIC,"62,090 mi.",Star Motor Cars,3.7,(63 reviews),"$42,880"
109,2022 Mercedes-Benz S-Class S 580 4MATIC,"12,429 mi.",Mercedes-Benz of Hoffman Estates,4.6,"(1,182 reviews)","$114,999"
110,2021 Mercedes-Benz C-Class C 300,"35,478 mi.",Crown Eurocars of Dublin,4.9,"(2,699 reviews)","$46,000"
111,2020 Mercedes-Benz GLA 250 Base,"19,846 mi.",Mercedez-Benz of Tuscaloosa,n/a,(14 reviews),"$33,000"
112,2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"33,888 mi.",Mercedes-Benz of Houston Greenway,4.8,"(2,655 reviews)","$58,881"
113,2021 Mercedes-Benz GLS 450 4MATIC,"37,086 mi.",Mercedes-Benz of Scarborough,4.4,(522 reviews),"$64,329"
114,2021 Mercedes-Benz GLE 350 Base 4MATIC,"19,010 mi.",Mercedes-Benz of North Haven,4.8,"(1,250 reviews)","$57,997"
115,2020 Mercedes-Benz C-Class C 300,"19,931 mi.",Mercedes-Benz of Georgetown,4.6,(446 reviews),"$43,968"
116,2020 Mercedes-Benz AMG E 53 Base 4MATIC,"45,333 mi.",Mercedes-Benz of Ft. Pierce,3.9,(243 reviews),"$64,885"
117,2020 Mercedes-Benz AMG CLA 35 Base 4MATIC,"16,988 mi.",Mercedes-Benz of Littleton,4.6,"(1,153 reviews)","$44,499"
118,2018 Mercedes-Benz AMG GLE 63 S Coupe 4MATIC,"25,740 mi.",Mercedes-Benz of Akron,4.6,(75 reviews),"$66,555"
119,2021 Mercedes-Benz C-Class C 300,"21,385 mi.",Crown Eurocars,4.9,"(4,095 reviews)","$34,481"
120,2019 Mercedes-Benz CLS 450 Base 4MATIC,"18,555 mi.",Mercedes-Benz of Akron,4.6,(75 reviews),"$51,885"
121,2023 Mercedes-Benz GLB 250 Base 4MATIC,"4,195 mi.",Aristocrat Motors,4.7,"(1,372 reviews)","$52,477"
122,2023 Mercedes-Benz EQE 350+ Base,"7,424 mi.",Mercedes-Benz Of Tampa,4.1,"(3,520 reviews)","$70,625"
123,2022 Mercedes-Benz Maybach S 580 4MATIC,"6,143 mi.",Mercedes-Benz Of Henderson,4.9,"(1,716 reviews)","$199,992"
124,2022 Mercedes-Benz A-Class A 220,"9,616 mi.",Mercedes-Benz of Ontario,4.8,"(2,015 reviews)","$34,882"
125,2023 Mercedes-Benz GLE 350 Base 4MATIC,"6,150 mi.",Flagship Motorcars of Lynnfield,4.9,"(2,656 reviews)","$69,998"
126,2022 Mercedes-Benz GLS 450 4MATIC,"14,235 mi.",Mercedes-Benz of Lafayette,n/a,(150 reviews),"$82,571"
127,2019 Mercedes-Benz AMG GLS 63 Base 4MATIC,"39,030 mi.",Mercedes-Benz of Fredericksburg,4.7,(431 reviews),"$74,500"
128,2019 Mercedes-Benz AMG E 53 Base 4MATIC,"39,611 mi.",Fletcher Jones Imports,4.9,"(2,436 reviews)","$50,992"
129,2020 Mercedes-Benz C-Class C 300 4MATIC,"21,303 mi.",Mercedes-Benz of White Plains,4.3,"(1,645 reviews)","$34,398"
130,2018 Mercedes-Benz SL 550 Base,"33,910 mi.",Crown Eurocars,4.9,"(4,095 reviews)","$64,988"
131,2021 Mercedes-Benz CLA 250 Base,"29,003 mi.",Mercedes-Benz of Walnut Creek,4.5,"(1,015 reviews)","$38,999"
132,2022 Mercedes-Benz S-Class S 500 4MATIC,"6,081 mi.",Mercedes-Benz of Houston Greenway,4.8,"(2,655 reviews)","$98,381"
133,2022 Mercedes-Benz GLB 250 Base,"12,493 mi.",Mercedes-Benz of Knoxville,4.7,(339 reviews),"$44,950"
134,2021 Mercedes-Benz AMG GT 53 Base,"17,461 mi.",Mercedes-Benz of Fort Myers,4.7,(981 reviews),"$88,999"
135,2020 Mercedes-Benz Maybach S 560 Base 4MATIC,"18,956 mi.",Mercedes-Benz of Nashville,4.5,(918 reviews),"$104,999"
136,2021 Mercedes-Benz AMG C 63 Base,"9,837 mi.",Mercedes-Benz of Georgetown,4.6,(446 reviews),"$81,687"
137,2021 Mercedes-Benz GLE 350 Base 4MATIC,"34,850 mi.",Mercedes-Benz of Edison,5.0,"(3,933 reviews)","$53,673"
138,2021 Mercedes-Benz GLE 450 AWD 4MATIC,"15,117 mi.",Mercedes-Benz of St. Charles,4.7,(589 reviews),"$66,483"
139,2021 Mercedes-Benz GLB 250 GLB 250,"18,519 mi.",Isringhausen Imports,4.9,(966 reviews),"$41,900"
140,2019 Mercedes-Benz GLC 350e Base 4MATIC,"64,004 mi.",Mercedes-Benz of Farmington,3.8,(272 reviews),"$27,987"
141,2023 Mercedes-Benz GLB 250 Base 4MATIC,"5,530 mi.",Crown Eurocars of Dublin,4.9,"(2,699 reviews)","$41,000"
142,2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"65,679 mi.",Mercedes-Benz of West Houston,4.7,(73 reviews),"$47,993"
143,2020 Mercedes-Benz G-Class G 550 4MATIC,"9,648 mi.",Mercedes-Benz of Fort Mitchell,4.7,(598 reviews),"$143,976"
144,2020 Mercedes-Benz C-Class C 300 4MATIC,"26,893 mi.",Mercedes-Benz Of Bloomfield Hills,3.9,(110 reviews),"$38,890"
145,2023 Mercedes-Benz EQB 350 Base 4MATIC,712 mi.,Mercedes-Benz of Walnut Creek,4.5,"(1,015 reviews)","$53,586"
146,2018 Mercedes-Benz AMG GLC 43 Base 4MATIC,"52,077 mi.",Mercedes-Benz of Orlando,4.7,(874 reviews),"$38,992"
147,2019 Mercedes-Benz S-Class S 560 4MATIC,"21,250 mi.",Mercedes-Benz of Austin,4.8,"(1,335 reviews)","$69,999"
148,2020 Mercedes-Benz Maybach S 650 Base,"26,444 mi.",Mercedes-Benz of Nanuet,4.7,(264 reviews),"$125,888"
149,2022 Mercedes-Benz S-Class S 580 4MATIC,"5,663 mi.",Mercedes-Benz of Hoffman Estates,4.6,"(1,182 reviews)","$114,999"
150,2022 Mercedes-Benz GLC 300 Base,"7,150 mi.",Mercedes-Benz of Lynnwood,4.4,(130 reviews),"$47,495"
151,2020 Mercedes-Benz GLB 250 Base,"15,506 mi.",Mercedes-Benz of Boerne,4.6,(462 reviews),"$34,996"
152,2020 Mercedes-Benz AMG E 53 Base 4MATIC,"46,628 mi.",Mercedes-Benz of Ft. Pierce,3.9,(243 reviews),"$49,885"
153,2020 Mercedes-Benz E-Class E 350 4MATIC,"64,141 mi.",Mercedes-Benz of South Orlando,4.4,"(1,388 reviews)","$38,888"
154,2021 Mercedes-Benz GLE 350 Base 4MATIC,"22,857 mi.",Mercedes-Benz of Beaverton,4.4,"(2,829 reviews)","$55,146"
155,2021 Mercedes-Benz AMG GLB 35 Base,"16,226 mi.",Mercedes-Benz of Atlanta Northeast,4.7,"(2,032 reviews)","$47,673"
156,2022 Mercedes-Benz GLE 350 Base 4MATIC,"6,165 mi.",Mercedes-Benz of Kansas City,4.7,(766 reviews),"$66,989"
157,2020 Mercedes-Benz AMG GT 63 S 4-Door,"16,615 mi.",Mercedes-Benz of Gilbert,3.8,(350 reviews),"$141,987"
158,2018 Mercedes-Benz C-Class C 300,"63,662 mi.",Mercedes-Benz of Wichita,n/a,(109 reviews),"$22,998"
159,2023 Mercedes-Benz EQB 300 Base 4MATIC,"5,226 mi.",Mercedes-Benz of Massapequa,4.8,"(1,854 reviews)","$49,998"
160,2019 Mercedes-Benz Sprinter 2500 High Roof,"13,951 mi.",Mercedes-Benz of Santa Rosa,n/a,(30 reviews),"$74,990"
161,2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"37,972 mi.",Mercedes-Benz of Bonita Springs,5.0,"(2,197 reviews)","$58,994"
162,2016 Mercedes-Benz S-Class S 550 4MATIC,"35,418 mi.",Volkswagen of Quad Cities,4.8,(179 reviews),"$44,300"
